bbox,text,confidence
"[[np.int32(261), np.int32(436)], [np.int32(1332), np.int32(436)], [np.int32(1332), np.int32(636)], [np.int32(261), np.int32(636)]]",Phoebis sehhae,0.4303540483675938
"[[np.int32(458), np.int32(595)], [np.int32(1150), np.int32(595)], [np.int32(1150), np.int32(791)], [np.int32(458), np.int32(791)]]",maycelline,0.2508131641940889
"[[np.int32(255), np.int32(1165)], [np.int32(400), np.int32(1165)], [np.int32(400), np.int32(1370)], [np.int32(255), np.int32(1370)]]",8,0.891530034377471
"[[np.int32(1127), np.int32(1966)], [np.int32(1235), np.int32(1966)], [np.int32(1235), np.int32(2050)], [np.int32(1127), np.int32(2050)]]",UF,0.999628790741348
"[[np.int32(1123), np.int32(2062)], [np.int32(1401), np.int32(2062)], [np.int32(1401), np.int32(2158)], [np.int32(1123), np.int32(2158)]]",FLMNH,0.9999364518397867
"[[np.int32(914), np.int32(2165)], [np.int32(1431), np.int32(2165)], [np.int32(1431), np.int32(2276)], [np.int32(914), np.int32(2276)]]",MGCL 1169103,0.8723125043460448
"[[np.int32(834), np.int32(2342)], [np.int32(1262), np.int32(2342)], [np.int32(1262), np.int32(2442)], [np.int32(834), np.int32(2442)]]",USA: Arizona,0.9997143715796998
"[[np.int32(838), np.int32(2431)], [np.int32(1197), np.int32(2431)], [np.int32(1197), np.int32(2524)], [np.int32(838), np.int32(2524)]]",Graham Co:,0.8803197643653295
"[[np.int32(845), np.int32(2500)], [np.int32(1230), np.int32(2500)], [np.int32(1230), np.int32(2602)], [np.int32(845), np.int32(2602)]]",Mt Grahan,0.8956253114223056
"[[np.int32(852), np.int32(2597)], [np.int32(1139), np.int32(2597)], [np.int32(1139), np.int32(2697)], [np.int32(852), np.int32(2697)]]","10,000 f.",0.2181081088396825
"[[np.int32(851), np.int32(2667)], [np.int32(1206), np.int32(2667)], [np.int32(1206), np.int32(2778)], [np.int32(851), np.int32(2778)]]",3-VI-1972,0.9044936766478222
"[[np.int32(863), np.int32(2766)], [np.int32(1156), np.int32(2766)], [np.int32(1156), np.int32(2843)], [np.int32(863), np.int32(2843)]]",B. Weber,0.9696369716702685
"[[np.int32(1059), np.int32(2987)], [np.int32(1458), np.int32(2987)], [np.int32(1458), np.int32(3065)], [np.int32(1059), np.int32(3065)]]",Museum Acc.,0.7035070830076907
"[[np.int32(879), np.int32(3060)], [np.int32(1136), np.int32(3060)], [np.int32(1136), np.int32(3147)], [np.int32(879), np.int32(3147)]]",1981-24,0.9934081825981923
"[[np.int32(875), np.int32(3144)], [np.int32(1172), np.int32(3144)], [np.int32(1172), np.int32(3228)], [np.int32(875), np.int32(3228)]]",B. Weber,0.9498615838234863
"[[np.float64(893.9194081923158), np.float64(2970.0585553693054)], [np.float64(1067.6024972856248), np.float64(2998.2085763704576)], [np.float64(1050.0805918076842), np.float64(3081.9414446306946)], [np.float64(876.397502714375), np.float64(3053.7914236295424)]]",Allyn,0.9034916500579269
